Day,Open,High,Low,Close,Adj Close,Volume
87,11945.9684,11957.758,11902.2595,11908.6782,11908.6782,39754702
88,11826.6634,11861.0149,11808.8276,11819.9573,11819.9573,34887650
89,11866.3741,11900.9064,11855.2158,11875.6039,11875.6039,32259925
90,11999.5062,12024.1212,11978.6062,12011.6383,12011.6383,29535220
91,11954.7129,12013.508,11953.5301,11988.48,11988.48,27802813
92,11990.6617,11993.6407,11952.6056,11956.4959,11956.4959,28526119
93,11924.6789,11966.8849,11810.5154,11831.3159,11831.3159,33611048
94,11799.3458,11811.5515,11666.4989,11703.225,11703.225,39945321
95,11625.5395,11692.6214,11593.2967,11662.1967,11662.1967,32739166
96,11699.8271,11730.3764,11659.2274,11695.7383,11695.7383,23842154
97,11658.3298,11662.046,11558.773,11620.1203,11620.1203,29603522
98,11465.1105,11479.2832,11402.5544,11447.7188,11447.7188,40575658
99,11490.8673,11538.0575,11456.9598,11510.7866,11510.7866,59806392
100,11467.097,11565.9081,11452.4764,11490.4702,11490.4702,36802067
101,11595.3319,11673.4275,11590.5311,11652.8026,11652.8026,31619890
102,11640.4405,11666.2282,11598.0482,11633.921,11633.921,30500733
103,11715.7311,11789.8689,11704.4314,11770.5737,11770.5737,31765619
104,11825.5414,11881.5006,11816.9428,11864.2893,11864.2893,31739619
105,11853.3329,11894.7267,11798.8057,11798.8057,11798.8057,38032152
106,11708.9382,11796.2281,11698.7975,11769.3693,11769.3693,26245597
107,11921.9072,11939.7298,11828.7773,11870.6072,11870.6072,30586913
108,11826.9011,11877.0523,11826.4572,11863.1682,11863.1682,27239121
109,11860.6586,11889.4391,11806.4765,11806.4765,11806.4765,32159905
110,11800.3101,11801.6506,11742.1114,11784.0714,11784.0714,43890027
111,11791.2252,11791.3908,11685.0109,11725.9577,11725.9577,28273112
112,11646.2361,11673.3826,11497.889,11497.889,11497.889,35234078
113,11543.461,11668.9649,11454.9058,11655.5445,11655.5445,37269025
114,11690.3937,11824.6842,11673.6812,11778.5052,11778.5052,31530504
115,11677.8106,11718.9968,11655.8295,11709.2098,11709.2098,40900732
116,11634.1291,11640.833,11515.0341,11528.1224,11528.1224,28382606
117,11431.1673,11538.6936,11402.1715,11524.8798,11524.8798,31995372
118,11544.0073,11562.4492,11484.2513,11518.6077,11518.6077,30729540
119,11463.9759,11517.7965,11382.9932,11502.8178,11502.8178,33837143
120,11568.3662,11577.8791,11480.7576,11563.2022,11563.2022,30195344
121,11470.9386,11511.4123,11239.1237,11253.2854,11253.2854,31025677
122,11274.5339,11294.4931,11112.5424,11221.2124,11221.2124,34617221
123,11236.3643,11290.7865,11197.5845,11256.0802,11256.0802,31459113
124,11274.5411,11302.6323,11152.694,11196.3638,11196.3638,31836446
125,11180.3108,11293.1589,11177.8838,11252.8644,11252.8644,30909881
126,11240.8772,11378.5254,11234.3043,11350.8487,11350.8487,26835963
127,11508.5586,11563.606,11499.001,11499.001,11499.001,39722377
128,11429.4283,11451.4946,11295.4622,11393.102,11393.102,37468231
129,11430.3775,11532.3788,11421.2072,11508.7478,11508.7478,25317049
130,11527.2448,11679.1943,11485.5058,11630.0389,11630.0389,32845967
131,11641.886,11795.3467,11599.7319,11745.7024,11745.7024,1
132,11692.5702,11809.7199,11676.8924,11739.9643,11739.9643,34214213
133,11877.7883,11894.2701,11813.8682,11813.8682,11813.8682,25979491
134,11840.8103,11869.2074,11783.9919,11785.4469,11785.4469,29345353
135,11825.8655,11896.3071,11725.3627,11806.7858,11806.7858,31668304
136,11626.6111,11640.4924,11555.0004,11583.5085,11583.5085,40730532
137,11642.1598,11642.1598,11570.5054,11619.1541,11619.1541,31038859
138,11670.6925,11697.2324,11646.3438,11681.008,11681.008,27449372
139,11735.7554,11738.6287,11652.1381,11671.3085,11671.3085,33756723
140,11723.9544,11758.2617,11696.371,11758.2617,11758.2617,32165477
141,11744.7013,11754.0601,11695.6927,11709.1446,11709.1446,34134068
142,11631.879,11738.4771,11569.8128,11674.1171,11674.1171,52691864
143,11761.4624,11830.7003,11747.8532,11815.7549,11815.7549,44496462
144,11695.0685,11735.2954,11585.775,11610.385,11610.385,42191214
145,11657.7685,11672.2008,11608.7493,11626.6133,11626.6133,34499500
146,11661.623,11713.1775,11636.1065,11646.756,11646.756,29931474
147,11701.1633,11780.3528,11693.2325,11778.3054,11778.3054,33547785
148,11756.3064,11825.8326,11727.1205,11744.7661,11744.7661,31071285
149,11803.212,11833.1709,11754.3363,11806.7917,11806.7917,28575590
150,11639.5417,11640.5452,11467.4626,11480.5354,11480.5354,30840771
151,11542.3904,11546.0588,11403.4438,11406.6321,11406.6321,36035045
152,11425.4394,11582.4252,11422.3926,11582.4252,11582.4252,28023602
153,11604.7207,11611.0295,11470.9568,11519.6892,11519.6892,29165937
154,11360.3011,11494.4694,11303.9042,11469.4648,11469.4648,36365852
155,11591.3128,11605.7335,11555.4218,11569.0745,11569.0745,27116503
156,11607.9066,11618.9792,11547.2684,11572.4213,11572.4213,21296959
157,11472.51,11574.3597,11442.7276,11529.1662,11529.1662,24434188
158,11532.2876,11594.5112,11476.7605,11580.1937,11580.1937,26787063
159,11672.7413,11694.7946,11650.4643,11667.6134,11667.6134,22876614
160,11729.1353,11790.8121,11712.6559,11790.5665,11790.5665,23149205
161,11804.422,11879.5185,11798.5448,11859.5339,11859.5339,22726350
162,11892.4131,11912.622,11812.5342,11812.5342,11812.5342,27481244
163,11874.6552,11951.3122,11874.1928,11888.8925,11888.8925,25572245
164,11997.0973,12003.346,11899.4589,11918.5697,11918.5697,34443673
165,11812.3026,11894.0672,11783.6096,11880.8386,11880.8386,29816054
166,11901.8713,11902.5549,11831.5944,11843.5651,11843.5651,23637270
167,11847.5429,11854.3831,11780.9069,11825.0616,11825.0616,25225403
168,11723.4922,11738.2083,11675.2398,11680.5732,11680.5732,34234961
169,11669.6403,11709.3216,11647.6406,11684.6925,11684.6925,29258475
170,11635.4851,11646.4433,11542.3363,11612.1748,11612.1748,33301279
171,11556.3569,11630.7367,11554.2584,11618.382,11618.382,26460880
172,11645.411,11748.0649,11638.8395,11746.4271,11746.4271,33914565
173,11888.8277,11892.3144,11794.283,11837.4544,11837.4544,37526468
174,11835.96,11940.6759,11828.611,11921.3011,11921.3011,34459890
175,11997.1703,12033.3663,11960.5583,12027.8409,12027.8409,51891110
176,12028.6055,12257.952,12027.0762,12226.1136,12226.1136,40208542
177,12408.5732,12454.0652,12365.5094,12365.5094,12365.5094,44630666
178,12378.5543,12393.6471,12289.6275,12337.9786,12337.9786,44540366
179,12423.0505,12487.0078,12378.9917,12434.1453,12434.1453,51270087
180,12405.5537,12441.4641,12367.6852,12435.8952,12435.8952,43328580
181,12407.9257,12505.3246,12401.3282,12505.3246,12505.3246,37882366
182,12498.7113,12573.2923,12410.8207,12420.5817,12420.5817,33766246
183,12524.706,12631.8993,12494.1535,12545.5264,12545.5264,40508729
184,12591.6836,12661.0506,12565.7072,12629.3912,12629.3912,30299550
185,12707.4746,12744.9568,12624.6336,12652.4502,12652.4502,38746449
186,12672.8281,12694.5126,12574.1423,12616.1969,12616.1969,31687148
187,12663.615,12666.6238,12497.0792,12524.4308,12524.4308,39303576
188,12391.7926,12468.3155,12364.9212,12392.8143,12392.8143,41340986
189,12223.3492,12242.3353,12167.2891,12181.2664,12181.2664,38944372
190,12241.8541,12268.0973,12155.8447,12224.7538,12224.7538,33134711
191,11916.6345,11920.6787,11614.4443,11682.6239,11682.6239,56919115
192,11612.8393,11814.5248,11612.8393,11805.9566,11805.9566,46849336
193,11672.6811,11682.6722,11548.4859,11553.3522,11553.3522,34450142
194,11631.6242,11762.5771,11616.6688,11762.5771,11762.5771,35835401
195,11925.5873,12005.4972,11904.1432,11943.6427,11943.6427,31327589
196,11918.5241,11919.489,11796.5887,11807.4649,11807.4649,30785627
197,11628.0964,11737.221,11560.7336,11727.0253,11727.0253,28547936
198,11634.6449,11789.6259,11581.2817,11759.7623,11759.7623,28189504
199,11624.9825,11628.1008,11411.6878,11420.8765,11420.8765,34732720
200,11637.1188,11657.7654,11502.5514,11596.9176,11596.9176,39733114
201,11304.7549,11318.5129,11058.3765,11091.9255,11091.9255,43422619
202,11124.1915,11142.7762,10880.9059,10991.2459,10991.2459,44082720
203,11215.0237,11289.9081,11102.6618,11123.6102,11123.6102,33307599
204,10991.2204,11262.1593,10984.0988,11204.1414,11204.1414,55796188
205,11198.7645,11380.9495,11178.4277,11380.9495,11380.9495,50059909
206,11436.373,11436.373,11291.2618,11322.1681,11322.1681,45241397
207,11357.2409,11642.6334,11351.8915,11608.8357,11608.8357,49376538
208,11433.9211,11459.4781,11362.9919,11380.1459,11380.1459,35182126
209,11461.2975,11535.1912,11448.4979,11528.3827,11528.3827,1
210,11636.5422,11770.2199,11535.4354,11582.0352,11582.0352,45519011
211,11656.8764,11728.2426,11643.8881,11678.1222,11678.1222,32077414
212,11720.8589,11732.9961,11592.9119,11605.5554,11605.5554,37228162
213,11546.9445,11652.5453,11507.5824,11624.2915,11624.2915,27651676
214,11386.5935,11390.2609,11178.172,11347.7173,11347.7173,37327486
215,11356.6362,11429.0235,11311.8097,11354.2193,11354.2193,35157490
216,11290.5628,11367.8713,11260.9586,11359.9981,11359.9981,1
217,11340.6446,11376.448,11267.3578,11275.8612,11275.8612,34547227
218,11325.4809,11416.3242,11318.3028,11399.7324,11399.7324,32780541
